ra,dec,phot_g_mean_mag,bp_rp
41.86548899360383,37.79093369230556,6.451979,1.5210829
52.876367146666226,40.759736958910906,6.459793,0.3247776
67.53302295368192,45.950556254194055,6.3798957,3.6076918
64.30129128500317,50.865801366610356,5.828056,2.03541
65.04796937551752,50.9209073261392,5.5060334,0.02289486
69.99225445494139,53.47256512338719,5.435337,0.4671936
76.62415500362859,61.169390285653456,5.51609,1.5763698
39.574085023494746,37.72651350955076,6.083054,0.63021135
41.02151448594689,44.29701159652296,5.1839004,1.088613
24.63249688838468,45.39969818789928,6.364588,-0.039966583
33.30539085961294,44.231591625229775,4.276864,1.7023463
10.629594889303956,58.75338219784452,6.1623597,0.03345871
1.2757673770864828,61.31397922120094,5.7756515,-0.07584524
49.78198800504913,50.09486073045816,5.009382,-0.058522224
31.266466778466278,55.62207405193597,6.4693007,0.40529537
34.50003772193267,57.89984601692948,5.399425,1.3391714
47.85554571506116,57.90310863426744,6.278973,2.846654
55.67805194433253,59.969400102804954,5.0030713,1.9891877
64.22321164298228,61.849899346026206,5.670231,-0.17448902
56.504867076409795,67.20109687137528,5.7087336,0.46982765
78.09358448994578,73.94655706560378,5.403789,-0.1168828
84.93199619329634,75.04399213462806,5.495653,1.904017
39.40075741662563,65.74529687500144,5.212021,1.7395315
29.000302139750204,68.68519414012788,4.938846,-0.08622265
10.514136352148116,66.1475576422023,5.5424232,1.2083287
21.484314352288017,68.13013073330919,4.4439874,1.1948743
16.181945581643028,74.83460425925786,6.3210354,3.9832196
43.86818108301281,73.37106878237847,6.216652,1.3731422
154.7443764228253,46.76063160195623,6.0793157,1.3429918
157.1520280576887,45.212118953693754,5.9651513,1.4448447
157.65517382143014,55.980393770343866,4.673892,0.700737
126.17830601579357,42.005279718986564,5.3754835,1.8370395
111.67848159618472,49.21131032413723,4.58711,0.012279034
112.76435560165957,50.04831638313864,6.2942224,2.986817
101.70641171721239,57.16900482206823,5.074608,1.1415205
143.20753978122536,51.67490604097004,3.0717425,0.8285754
138.95722409192788,56.741279076326805,4.656113,1.8142407
125.10906296031578,57.743344264398154,5.787847,0.5490384
152.28204857935233,63.952428151630976,5.7753572,2.0448656
170.71346551320738,64.33066603109668,6.0131097,0.11602497
120.64879587450116,57.27336257313166,6.3329296,0.8229718
124.46002045787293,59.571145430174276,5.5980153,0.2487588
120.42660488921928,60.3242719844294,6.009021,0.17753935
111.85761158346641,66.3314424614078,6.459573,-0.07716465
163.80348400218608,77.08759431271787,5.886071,2.3426604
102.15608319000567,76.98984680323734,6.0824347,3.6122537
264.86615107268545,46.00634774932603,3.7906454,-0.21545649
232.18482829491438,47.20152704068668,6.13204,0.13308477
252.0692371012882,57.81370628231676,5.3835483,3.8326092
263.75066378504704,61.872440036356195,5.069048,0.8121557
200.7727769249553,47.002064207151996,5.237154,2.871514
199.5602148601814,49.68213630008292,5.128485,-0.06357336
205.09592273572648,50.51967594400644,6.199,0.6974187
183.85734834773095,57.03265316489124,3.3111024,0.26148772
192.16544417281196,60.319889046486814,5.700267,0.6607628
226.3572053251079,48.15109790409605,5.5793777,-0.010613918
231.63426507449964,54.02023296259908,6.436634,0.07778692
218.66477553080006,49.368575533986245,5.0748034,1.8631196
249.54038476052278,61.17231628233753,6.2709284,1.8267756
247.8670509286032,72.61258818164013,5.8726783,1.481863
207.85808233061798,64.72327753159793,3.5380037,2.257103
198.36499794196098,67.2880004254575,6.211098,1.2607179
188.36984368693533,69.78828379171446,3.8934839,-0.11563444
244.37472356719266,75.75643519854079,4.8468947,0.520185
259.90512480694304,80.13640346345662,5.1929517,1.6600909
203.67766116901512,76.54670968438737,5.777095,1.9343543
263.05490751446143,86.58669984133707,4.3210907,0.056266785
322.1035257783337,8.195530618915264,5.501913,2.2725635
341.5434820055216,44.54619859126277,5.759232,0.48450232
331.5080807195988,45.01427579292849,4.4421763,1.8497641
319.61330451716344,43.94590648819495,4.992317,-0.030507088
338.97247032704007,50.070788328221965,6.2567005,-0.06728172
341.07212888556273,49.41206640436302,6.3190937,1.9857812
347.4339150096096,59.332693303729855,5.578588,0.5456319
357.60168524075,63.74361782264936,6.3615265,1.7388783
309.3444354892387,38.098500460087365,6.4441433,1.8642244
305.40092875005365,40.44716140279273,6.088352,4.0761285
294.8604894127043,42.81840847824098,5.383299,-0.047807217
294.1350754735744,43.7060933219693,6.0669403,1.6416631
297.8308399599483,47.37730879490134,6.1380243,0.51100063
299.81401270019444,52.05570266633874,6.1091504,-0.23654985
283.69602266611844,48.858802557005475,5.7291913,0.6154332
285.0570410387764,50.53347810269267,5.350681,-0.2650919
292.8303259224117,50.30690913344243,5.153431,1.419414
272.63265239009786,54.28765269401475,5.725761,1.1108847
316.2328118253326,43.9278571769806,3.0638983,1.7368188
322.8644597515487,52.61985485053638,5.8812375,1.1670518
312.17813784225007,51.91034020775021,6.3829684,-0.12629652
311.7543869251216,58.41674993846945,5.6428795,2.7450876
333.09356756442264,63.29096631922269,4.7766414,2.3854759
330.97110179789183,63.12017992426462,4.0318704,2.6385388
336.77212075928355,65.13225307789213,5.390585,0.5286498
346.1360157406049,63.24082623340824,6.365062,1.1709709
356.6531593043778,66.78223176583923,5.906524,-0.045883656
351.4112060271813,68.95602361802807,6.437189,1.3697615
327.2833863797196,66.79173058503451,6.3970094,0.52869844
336.5036852354759,70.77092500766923,5.109865,1.3594184
298.3224589536018,57.523517635885014,5.111099,-0.17579079
301.3881586828984,61.99573451232038,5.051078,1.3414621
297.3579795720165,63.20385644238761,6.192069,1.6027837
305.2980691342804,63.980181410213056,5.0759053,1.8103638
304.3858330649528,66.85501172532437,5.7695527,0.77145576
297.04417326624304,70.26810826288803,3.64309,1.1272447
278.07815087269165,67.77682076403612,6.188694,1.5538669
288.09414621122426,73.89242492647782,6.1983204,2.493373
311.13724445770595,69.75165151680625,6.248231,1.1283855
325.48200314844524,71.31187298142444,4.234787,1.2448437
329.81131902680943,73.1791836180336,4.905107,0.6333599
336.50167378592346,80.70166003331164,6.391302,1.2502465
290.4183325106298,79.60269205950857,6.046613,0.11044788
357.9144854240937,-34.69171653405155,6.437135,1.1527109
16.53193108842626,-23.99264476391487,5.840089,1.2160759
0.7400087764882888,-20.045534166918817,6.1336775,0.67553234
11.423825383802564,-16.42424688688366,6.445394,0.41671848
9.012848716742209,-14.97329202502784,6.1517425,1.2185435
7.466910326520938,-14.864259558620084,6.0586677,0.52123976
346.67049822468647,-23.743141949241107,4.1641397,1.0956011
350.6637077596506,-15.039280753621433,5.176976,0.30893946
1.5706755423449639,-10.778483831854984,6.3730917,2.7149458
21.71491675223592,-13.056468362846543,5.4357,0.44650364
25.43709835757293,-11.32651614886674,5.676386,0.60681915
27.907521253586758,-6.874175072867372,6.045026,1.3745303
21.08555543364448,-6.914641968159611,6.269984,0.55530214
25.97821133673251,-4.7656488790948925,5.613664,1.7550287
25.68125473603141,-3.690348112173282,4.582967,1.4640012
21.202886652037787,-2.8487129090297003,5.908588,1.1315002
8.813855157623951,-3.5929208153030223,5.0347004,0.75366116
19.951270548104905,-0.5090779866741173,6.130587,0.9793587
334.20020714671983,-12.831406089158993,5.0232334,1.2787566
337.92250321164977,-10.905733983187458,6.3275304,0.41819715
332.63260236289096,-10.820260515155875,6.3557553,1.2279158
335.4240811452113,-7.6084104338543765,6.1086283,4.248598
357.20573507085487,2.214260730607432,6.3565006,0.6198044
344.86478099905884,0.9626195716025394,5.1803875,1.1282225
337.2086733208406,-0.019817740290968805,4.2029405,0.49388337
321.4651567166912,0.5344068333668395,6.4260726,0.22661972
336.31934038803763,1.3774098514356214,4.5250964,0.06154108
336.6570825023539,4.393990854666596,5.6279163,0.69026613
340.3658528815996,10.831311075878627,3.4208996,0.034724712
358.7825730823815,7.070888877693943,6.2109003,-0.08004999
338.9571116339186,20.273823909138624,6.308859,1.2578015
39.19238005256281,-35.82894357758604,6.3299365,2.7593179
34.33372304387177,-35.98275006494721,6.4456105,1.1513224
1.3666613056741814,-42.88739296170006,6.214968,2.6681094
13.981462206195905,-27.775861647035413,5.3038716,2.1094804
22.400835365386072,-21.629317729827,5.107683,0.052470207
41.89040021942173,-35.550777455428545,6.2637296,1.1245584
39.57825552006404,-30.194395323839164,5.7103505,0.64276505
42.47599581672492,-27.94188557889294,5.366148,0.048376083
34.74269374763958,-25.943711129253515,6.147864,0.9205227
35.30733025528779,-19.915364061855033,6.2772236,1.1321177
32.190201288184625,-17.779251025377125,5.195222,2.220255
34.53580196618326,-14.133591090817749,6.186031,3.3107944
44.69704597607893,-9.776569725745425,6.107175,0.3084073
44.92148365803313,-2.4650572977552136,5.5359755,-0.063231945
352.641902424171,-41.98915947315484,6.4238267,1.3546629
333.12458657327767,-40.20343755533846,6.3525305,1.1018505
326.60072749902685,-32.71481271499775,6.3314505,1.4800272
347.27316047830266,-30.133952663970117,5.552955,4.2540545
332.0962740529059,-32.98858452922848,4.465882,0.108867645
338.6745333817373,-20.708869546615368,5.0947433,0.58876705
320.45463781434785,-29.166172597780175,6.07745,1.5319185
321.0399349167584,-20.85243801291524,5.0564704,1.2759514
316.8747262014994,-19.088523437831405,6.4505796,1.0994248
320.56178645858284,-16.83452207289956,4.0490885,1.0722091
325.7682959299627,-14.399622134647895,5.825697,0.3684306
320.7342775831885,-9.319457470730915,5.3834133,1.7833028
319.54619114573694,-4.519423114021108,5.8041496,-0.17742395
11.230427090968279,3.2010017854860395,6.481645,2.740336
22.095988866226282,7.961321767094533,5.9273458,1.2258363
16.219455637505554,5.6561985119113505,5.452981,1.717566
24.92046089504357,16.40580009945647,5.6607914,1.2893691
4.484574635626125,12.771381553260941,6.299694,1.1108203
12.244603356431734,16.93975243414144,4.9257455,0.68561316
